season,episode,character,dialogue
1,Anatomy Park,Jerry,*singing* Last King Christmas last arrived!
1,Anatomy Park,Jerry,"*singing* In the Christmas Christmas! *stops singing and smells the ham* Mmm... Jerry, you are really giving it to this ham."
1,Anatomy Park,Jerry,"Um, Merry Christmas? *puts his hands on his hips* Helloooo? My parents are coming over for the first time in years! Can we stow the gadgets and look alive?"
1,Anatomy Park,Beth,Alive? For your parents?
1,Anatomy Park,Jerry,Good one.
1,Anatomy Park,Beth,Hey man!
1,Anatomy Park,Jerry,You ?hey man?! This holiday is about humanity.
1,Anatomy Park,Morty,"*not looking up from his tablet* You know, I thought it was about being born half-God or something."
1,Anatomy Park,Jerry,"Okay, whatever. All electronic items are going in the stocking. Now."
1,Anatomy Park,Morty,*hands over his tablet* Ohhhh...
1,Anatomy Park,Summer,"Dad, I'm not giving you my phone."
1,Anatomy Park,Jerry,"Put it in the stocking, Summer, or I'm joining Facebook."
1,Anatomy Park,Rick,"*offscreen* Ho ho ho, everybody."
1,Anatomy Park,Jerry,More like whoa whoa whoa. What is this? My parents are coming!
1,Anatomy Park,Rick,"Calm down Jerry, this is Ruben, an old friend."
1,Anatomy Park,Ruben,Pearl Harbor.
1,Anatomy Park,Rick,I check in on him once a year and give him a little *burp* medical *burp* evaluation.
1,Anatomy Park,Beth,"Aw, Dad... That is so sweet."
1,Anatomy Park,Jerry,"*squinting suspiciously* Yeah, it is... I don't get it."
1,Anatomy Park,Ruben,Korea.
1,Anatomy Park,Rick,"Don't worry about your C-C-Christmas, Jerry. *leads Ruben away* Ruben and I'll be in my workshop while you have another day in Phil Collins? proverbial paradise."
1,Anatomy Park,Jerry,"Huh. You think you know a guy.  Okay, there's my parents. Now remember, no TV, no phones, no laptops, we are connecting this Christmas, like old-school Jews on a Saturday. *opens the door* Hey hey!"
1,Anatomy Park,Leonard,"Merry Christmas, son."
1,Anatomy Park,Jerry,"Oh, hi. Can I help you?"
1,Anatomy Park,Joyce,"Jerry, this is Jacob. *takes Jacob by the arm* Didn't you get our text message?"
1,Anatomy Park,"Beth, Summer, and Morty",No.
1,Anatomy Park,Jacob,You must be Jerry! That's a fine lookin? apron. William Sonoma?
1,Anatomy Park,Jerry,*smiling uncomfortably* I wish... But thank you. *closes the door* So... you're a...friend of the family...?
1,Anatomy Park,Leonard,"*puts an arm around Jacob's shoulders* The way we see it, he's a part of the family."
1,Anatomy Park,Jerry,Wow!
1,Anatomy Park,Joyce,"After your father's brush with cancer and losing your uncle, we looked at life and wondered how have we spent it? And how do we spend the rest of it? What are we going to be when we die? A list of fears and questions, or a collection of real experiences?"
1,Anatomy Park,Beth,"Holy crap, Joyce. That's amazing."
1,Anatomy Park,Leonard,Then Jacob came into our lives. We're learning to live again.
1,Anatomy Park,Jacob,All three of us.
1,Anatomy Park,Jerry,...Cool... Eggnog?
1,Anatomy Park,Jacob,"Now we are talkin?! This man's got the apron and the eggnog, huh?"
1,Anatomy Park,Rick,"Hi Joyce, Leonard. *looks at Jacob* Hello there."
1,Anatomy Park,Jacob,"Merry Christmas, man."
1,Anatomy Park,Rick,Morty! A moment of your time?
1,Anatomy Park,Rick,"He's in bad shape, Morty."
1,Anatomy Park,Morty,"Aw geez, Rick! What did you do?"
1,Anatomy Park,Rick,"Gee, thanks Morty. What kind of monster do you think I am? I-I'm sittin? here trying to save the guy's life!  I want you to find Dr. Xenon Bloom. He'll know what's goin? on."
1,Anatomy Park,Morty,*extremely nervous* Uh... W-W-Where do I find Dr. Bloom?
1,Anatomy Park,Rick,In Ruben. *shoves a glass oxygen mask onto Morty's head*
1,Anatomy Park,Morty,Ruben... Minnesota?
1,Anatomy Park,Rick,"Ruben on the table, Morty! *hooks up the backpack to the helmet* Look, I-I don't have time for you to wrap your little walnut around everything. *pulls a shrink ray into view and plugs it in* Hold your breath until the process is over or your lungs will collapse."
1,Anatomy Park,Morty,W-What proc?
1,Anatomy Park,Beth,"Hey Dad, where's Morty?"
1,Anatomy Park,Rick,He's busy.
1,Anatomy Park,Rick,"Morty, can you hear me? Head North!"
1,Anatomy Park,Morty,Rick... Where am I?
1,Anatomy Park,Rick,"*adjusts his own headset as he stands in the garage* Depending on my aim, you should be just south of the entrance."
1,Anatomy Park,Morty,The entrance to what?
1,Anatomy Park,Rick,"Welcome, Morty.  Welcome...  ...to Anatomy Park!"
