season,episode,character,dialogue
4,Claw and Hoarder: Special Ricktim's Morty,Morty,"Rick, we did it! W-we got it!"
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"Hurry up, Morty get in!"
4,Claw and Hoarder: Special Ricktim's Morty,Morty,Chachi!
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"Fuck Chachi, Morty! Did you get it?"
4,Claw and Hoarder: Special Ricktim's Morty,Morty,He helped me escape prison!
4,Claw and Hoarder: Special Ricktim's Morty,Rick,Did you get the Ultimate Cube?
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"Oh, it's purple."
4,Claw and Hoarder: Special Ricktim's Morty,Morty,You said it was purple.
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"I said mine was, I didn't know they all were."
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"And now we do, thanks to Chichi."
4,Claw and Hoarder: Special Ricktim's Morty,Morty,Chachi!
4,Claw and Hoarder: Special Ricktim's Morty,Morty,"So, uh...w-w-when do I get it?"
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"Get what, a hug? Let's find a planet with a garden hose first?"
4,Claw and Hoarder: Special Ricktim's Morty,Morty,A dragon!
4,Claw and Hoarder: Special Ricktim's Morty,Rick,A dragon?
4,Claw and Hoarder: Special Ricktim's Morty,Morty,"You asked me to cut class and fight robots with, I said no, you said millions of lives depend on it, I said I'll do it for a dragon, you said whatever, I want my dragon!"
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"You know who's into dragons, Morty? Nerds that refuse to admit they're Christian."
4,Claw and Hoarder: Special Ricktim's Morty,Morty,I want my dragon!
4,Claw and Hoarder: Special Ricktim's Morty,Rick,"Let me get you rocket shoes, l-let me get you Wolverine claws, let me get you a fucking rocket hat! Just make sure to use it with rocket shoes or it'll rip your head off."
4,Claw and Hoarder: Special Ricktim's Morty,Morty,"I want my dragon, I want my dragon, I want my dragon¡®!"
4,Claw and Hoarder: Special Ricktim's Morty,Rick,Oh crap. {coughs} Crap!
4,Claw and Hoarder: Special Ricktim's Morty,Beth,"Dad, are you okay? Your ship crashed in Malta."
4,Claw and Hoarder: Special Ricktim's Morty,Rick,{grunts} I'm okay.
4,Claw and Hoarder: Special Ricktim's Morty,Beth,"Oh, thank god."
4,Claw and Hoarder: Special Ricktim's Morty,Beth,"Dad, did you promise Morty a dragon?"
4,Claw and Hoarder: Special Ricktim's Morty,Rick,AAAAAAARGH!
4,Edge of Tomorty: Rick Die Rickpeat,Summer,Morty's on Jessica's Instagram again.
4,Edge of Tomorty: Rick Die Rickpeat,Morty,"Get out of here, jerk!"
4,Edge of Tomorty: Rick Die Rickpeat,Jerry,"What's so embarrassing, Morty? Sharing it with your family might help."
4,Edge of Tomorty: Rick Die Rickpeat,Beth,"Summer, stop shaming your brother.  Morty, stop being a creepy, perverted cyberstalker."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,I'm not cyberstalking! I-I-I just wanted to know where she got this necklace from.
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Hi. I've placed an auto-response chip in my brain so I can spend time with my family.
4,Edge of Tomorty: Rick Die Rickpeat,Beth,But you are spending time with your family.
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Uh...
4,Edge of Tomorty: Rick Die Rickpeat,Beth,Dad? There's a way we do this now.
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Morty, would you please accompany me to Forbodulon Prime for death crystals?"
4,Edge of Tomorty: Rick Die Rickpeat,Morty,"Well, thank you for asking. Yes, I will do that."
4,Edge of Tomorty: Rick Die Rickpeat,Summer,It is a hot photo.
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"You're thinking of bullets, Morty. Death crystals show you how you're gonna die."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Jesus Christ! I-I die a million times?
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Your future stems from your  present, which, if you're living right, keeps changing. Truth is, anyone that knows how they're definitely gonna die is either boring as hell or about to get shit."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Crystal poachers.
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,I will avenge my death.
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Holy shit!
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Just kidding. I'm a crisis detection and correction hologram generated by a chip that ""real"" Rick put in your spine. ""Real"" in quotes because calling density-privileged entities ""real"" is incredibly holo-phobic. Morty, do me a solid... problematic wordplay aside... grab the gun with the blue handle from the trunk and get a tissue sample from the corpse."
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Alright, now take that to the trunk and insert it into the clone compiler. I see you appear to be holding a death crystal that's guiding your decisions more than I am. That's your right. I just want to remind you that some people can't hold anything and can never die, so that's a little offensive to..."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Then we'll get along fine, Fascist Morty."
4,Edge of Tomorty: Rick Die Rickpeat,Fascist Morty,You will go where I want you to go!!
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Hey, hey! Ho, ho! Not cloning your grandpa has got to go! Hey, hey! Ho, ho! Not cloning your grandpa has got to go!"
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Alright. Okay, regroup, everybody. You, too, Berkeley!"
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Here's an idea, Morty. Throw that thing in the garbage, stop planning your own death, and talk to whoever you want."
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"You're better than that language, Morty."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,"I ain't better than shit, Jack."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"No, it looks like this. It's, like, identical to this, actually."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Goddamnit! When did this shit become the default?!
4,Edge of Tomorty: Rick Die Rickpeat,Morty,"Apparently, it doesn't matter."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Just doin' what I gotta do.
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,Excuse me? This chicken is quite real to me.
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,Nutrients?
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,What's the last thing you ate?
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Baloney and an orange.
4,Edge of Tomorty: Rick Die Rickpeat,Holo Rick,"Alright, Morty, a deal's a deal. Once we bring your Rick back to life, then I'll help you with the bully."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,"Sorry, Hologram Rick. I'm going with the crystal on this one."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Nope.
4,Edge of Tomorty: Rick Die Rickpeat,COP,We've got an Akira-type situation going on behind the mall. Over.
4,Edge of Tomorty: Rick Die Rickpeat,Morty,Shield me from the law!
4,Edge of Tomorty: Rick Die Rickpeat,Wasp-Rick,"Damn, your Morty sucks."
4,Edge of Tomorty: Rick Die Rickpeat,Holo-Rick,"Aah, wasps!"
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Why the hell didn't you show Morty how to bring my body back to life?
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Shh, quiet, idiot. Quiet. It's gonna be alright. You don't get to know how you're gonna die."
4,Edge of Tomorty: Rick Die Rickpeat,Morty,I-I thought you were proud to be a hologram!
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"There's a lesson here, and I'm not the one that's gonna figure it out."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Oh, boy, so, you actually learned something today? What is this, ""Full House""? I was living in the moment all day, and it kept getting me kill by nazi. I Ithink you have to think ahead and live in the moment."
4,Edge of Tomorty: Rick Die Rickpeat,Jerry,"Oh, real nice, Rick.Turning our son into an Akira? Real nice."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Eat my ass, Jerry. He turned himself into Akira."
4,Edge of Tomorty: Rick Die Rickpeat,Jerry,"Oh, I'll eat it, because this is my house, Rick. I'll eat any ass I want."
4,Edge of Tomorty: Rick Die Rickpeat,Rick,Gross.
4,Edge of Tomorty: Rick Die Rickpeat,Morty,I'm fine. Get off Rick's back. Rick wasn't even here when I was doing all that stuff. That was all on me.
4,Edge of Tomorty: Rick Die Rickpeat,Rick,That finger has AIDs now. Not my fault.
4,Edge of Tomorty: Rick Die Rickpeat,Beth,"He's messing with you, sweetie."
4,Edge of Tomorty: Rick Die Rickpeat,Jerry,But it's tingling!
4,Edge of Tomorty: Rick Die Rickpeat,Summer,...cumfest and...
4,Edge of Tomorty: Rick Die Rickpeat,Rick,"Wait, wait, what the fuck?"
