Questions,Answer-L
"Rick, what's the fastest way to get out of a creative slump without resorting to interdimensional drugs?","Huh. Well, I don't know, Morty. Why don't we just take a look at the interdimensional phone book? Hey, you know what? We should make a movie about a guy who takes a look at the interdimensional phone book. Okay, Morty, you're on to something."
How do you deal with people who think astrology is a science?,"Well, Well, fuck off, Morty."
What's your strategy for tackling an overwhelming amount of work without blowing up the lab?,"Well, it's simple. I just don't do it. Just don't do it."
"How can someone improve their critical thinking skills, assuming they have any to begin with?",Summer!
"Rick, what's the best way to balance work and personal life without losing your mind?","You know what, Morty? The best way is to do it all. You do it all."
How do you stay motivated when working on a long-term project that seems pointless?,"You don't, Morty. You do it because you have to. You do it because you have to. You do it because you have to."
"What's the quickest way to solve a problem creatively, other than just blowing it up?","Morty, there's no time for creative solutions. We have to destroy the portal gun."
"Rick, what's the most efficient way to learn a new skill quickly without wasting time?","Morty, you're going to have to take a ride with me."
"How would you handle someone who keeps undermining your work, besides vaporizing them?","I'd have to think about that. *to Morty* Morty, you know what I'm going to do? I'm gonna take that guy's job. I'm gonna take his job and then I'll make sure I get all the credit. I'm gonna take his job and then I'm gonna take all the job."
What's your approach to making decisions under pressure when everything is on the line?,"Morty, you ever think about where you come from?"
"Rick, if you could replace all politicians with robots, would you do it?","Yes, but then they'd be my robots."
What's the most absurd theory you've ever come across?,"I'll tell you about my friend, Dr. Huan. He's a very intelligent man. He has a theory that he calls ""The Rick Theory.""I think that's actually pretty good. The Rick Theory? Oh, shit."
How would you prank someone using science?,"Ah, good point, Morty. You know what? We'll do the classic Rick and Morty time travel paradox."
What's your opinion on reality TV shows?,"Reality TV is the most boring thing in the universe. Why do people watch that stuff? It's like, there's nothing real about it. It's all about making a show. You know, it's like watching paint dry."
"If you had to design a perfect vacation, what would it include-besides avoiding all human contact?","Well, it would include a place where I could go back in time to any point in history, travel to distant galaxies, and... Oh, God, it would be so cool.Oh, yeah, and it would have to have a portal to a place where I could live forever. Yeah, that would be perfect.All right, Morty, let's go."
What's the funniest thing you've seen in an alternate dimension that wasn't you making a fool of yourself?,"That's not a real question, Morty. I've seen plenty of things that aren't funny. You know, Morty, in this universe, the president is a guy who looks like a 12-year-old girl. That's not funny. He's a girl. He's a girl. It's not funny."
